mask_type,comparison,distance_bin_m,n_patches,median_opt,median_baseline,median_diff_opt_minus_baseline,mean_diff_opt_minus_baseline,wilcoxon_statistic,raw_p,holm_adj_p,holm_rank_threshold,reject_holm_alpha_0_05
rainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs IDW,≤125,100,0.02861099502534673,0.05413080289966589,-0.023929823436972423,-0.02604465285890727,0.0,3.89655984509591e-18,2.727591891567137e-17,0.0071428571428571435,True
rainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs IDW,"(125,375]",100,0.03675557659340005,0.06804221535787203,-0.030604310293252314,-0.03158693106127864,0.0,3.89655984509591e-18,2.727591891567137e-17,0.008333333333333333,True
rainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs IDW,"(375,750]",100,0.05660611296602524,0.09693813344385159,-0.037349186023161965,-0.0369171528945251,29.0,9.318997235593412e-18,4.659498617796706e-17,0.01,True
rainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs IDW,"(750,1500]",100,0.09009950812186458,0.13394152835272471,-0.03392514916440734,-0.0316895993879067,367.0,1.1720436023075122e-13,3.516130806922537e-13,0.016666666666666666,True
rainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs IDW,"(1500,3125]",100,0.17767721915724372,0.19032526822351253,-0.0037243300567063736,0.018552980787800176,2370.0,0.5940748720051938,1.0,0.05,False
rainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs IDW,"(3125,6000]",100,0.3091983659800034,0.24649919303782636,0.08293254672371621,0.10118650303380854,330.0,4.449781945580063e-14,1.7799127782320253e-13,0.0125,True
rainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs IDW,"(6000,9000]",100,0.4350465282553038,0.33453954505221045,0.015768258350720266,-0.05809522020127262,2332.0,0.506948473287772,1.0,0.025,False
rainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs ILDW,≤125,100,0.02861099502534673,0.062247044000268724,-0.03242686015010629,-0.03559303421069043,0.0,3.89655984509591e-18,2.727591891567137e-17,0.0071428571428571435,True
rainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs ILDW,"(125,375]",100,0.03675557659340005,0.06500181405749,-0.027009599688695166,-0.0286128764560576,1.0,4.0161556854627e-18,2.727591891567137e-17,0.008333333333333333,True
rainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs ILDW,"(375,750]",100,0.05660611296602524,0.08653485333068148,-0.02548042041268053,-0.02669111581668902,77.0,3.861843481183515e-17,1.9309217405917574e-16,0.01,True
rainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs ILDW,"(750,1500]",100,0.09009950812186458,0.12000822952577579,-0.02264816520205043,-0.018293194757319192,604.0,3.974582501006168e-11,1.1923747503018505e-10,0.016666666666666666,True
rainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs ILDW,"(1500,3125]",100,0.17767721915724372,0.17565218149209216,0.007962433752618882,0.03158807508917398,1517.0,0.0005285945569802443,0.0010571891139604887,0.025,True
rainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs ILDW,"(3125,6000]",100,0.3091983659800034,0.23199783149376074,0.08754869388549834,0.10933608037329659,246.0,4.653394762147336e-15,1.8613579048589343e-14,0.0125,True
rainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs ILDW,"(6000,9000]",100,0.4350465282553038,0.3481557917531021,0.020996820283710083,-0.056745128246789386,2373.0,0.6012349777584516,0.6012349777584516,0.05,False
rainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs IDW,≤125,100,0.028742924072418914,0.05413080289966589,-0.023843153763655735,-0.026039573804841232,0.0,3.89655984509591e-18,2.727591891567137e-17,0.0071428571428571435,True
rainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs IDW,"(125,375]",100,0.036728705298343683,0.06804221535787203,-0.030616415001891578,-0.03156211039517285,0.0,3.89655984509591e-18,2.727591891567137e-17,0.008333333333333333,True
rainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs IDW,"(375,750]",100,0.056669812613117085,0.09693813344385159,-0.03744689820111626,-0.03688265473115154,33.0,1.05018875346145e-17,5.25094376730725e-17,0.01,True
rainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs IDW,"(750,1500]",100,0.09017021809494746,0.13394152835272471,-0.03392232119621484,-0.03159119432072094,369.0,1.2344747158137794e-13,3.7034241474413383e-13,0.016666666666666666,True
rainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs IDW,"(1500,3125]",100,0.17888284096987986,0.19032526822351253,-0.004147085337935313,0.018749757712680906,2367.0,0.5869540189208129,0.5869540189208129,0.05,False
rainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs IDW,"(3125,6000]",100,0.30874844949340613,0.24649919303782636,0.09135430068209585,0.10712852615807772,287.0,1.4152626956877277e-14,5.661050782750911e-14,0.0125,True
rainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs IDW,"(6000,9000]",100,0.5123443940003212,0.33453954505221045,0.10453012116079814,0.005258696818816055,1864.0,0.02304229152554076,0.04608458305108152,0.025,True
rainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs ILDW,≤125,100,0.028742924072418914,0.062247044000268724,-0.03239528570862001,-0.03558795515662439,0.0,3.89655984509591e-18,2.727591891567137e-17,0.0071428571428571435,True
rainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs ILDW,"(125,375]",100,0.036728705298343683,0.06500181405749,-0.027016745753955237,-0.028588055789951806,1.0,4.0161556854627e-18,2.727591891567137e-17,0.008333333333333333,True
rainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs ILDW,"(375,750]",100,0.056669812613117085,0.08653485333068148,-0.02540379432023946,-0.026656617653315465,79.0,4.095126545597986e-17,2.0475632727989932e-16,0.01,True
rainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs ILDW,"(750,1500]",100,0.09017021809494746,0.12000822952577579,-0.02205240836105471,-0.01819478969013343,612.0,4.783742429152474e-11,1.4351227287457423e-10,0.016666666666666666,True
rainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs ILDW,"(1500,3125]",100,0.17888284096987986,0.17565218149209216,0.007713064090632396,0.031784852014054704,1496.0,0.0004031146901668627,0.0008062293803337254,0.025,True
rainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs ILDW,"(3125,6000]",100,0.30874844949340613,0.23199783149376074,0.09662988887464509,0.11527810349756579,199.0,1.2692585134298068e-15,5.077034053719227e-15,0.0125,True
rainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs ILDW,"(6000,9000]",100,0.5123443940003212,0.3481557917531021,0.08746562251111614,0.006608788773299334,1915.0,0.03596011333236085,0.03596011333236085,0.05,True
rainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs IDW,≤125,100,0.02853348683407427,0.05413080289966589,-0.024005698622007715,-0.02623907038752029,0.0,3.89655984509591e-18,2.727591891567137e-17,0.0071428571428571435,True
rainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs IDW,"(125,375]",100,0.036496592286378575,0.06804221535787203,-0.03076993848950834,-0.03172692618752665,0.0,3.89655984509591e-18,2.727591891567137e-17,0.008333333333333333,True
rainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs IDW,"(375,750]",100,0.05673051449460064,0.09693813344385159,-0.03745141964719485,-0.036859607350039514,31.0,9.893009181510365e-18,4.9465045907551824e-17,0.01,True
rainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs IDW,"(750,1500]",100,0.09038276518257635,0.13394152835272471,-0.03389690310220425,-0.03132518217625927,370.0,1.2669043868636275e-13,3.8007131605908824e-13,0.016666666666666666,True
rainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs IDW,"(1500,3125]",100,0.1788897264651274,0.19032526822351253,-0.004061162892564044,0.019036626172519732,2339.0,0.5224792307772006,0.5224792307772006,0.05,False
rainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs IDW,"(3125,6000]",100,0.30861073817332607,0.24649919303782636,0.09042439712971004,0.10689092208626576,287.0,1.4152626956877277e-14,5.661050782750911e-14,0.0125,True
rainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs IDW,"(6000,9000]",100,0.5104327770118335,0.33453954505221045,0.10109138627610309,0.0030223587638732153,1881.0,0.026809441110138,0.053618882220276,0.025,False
rainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs ILDW,≤125,100,0.02853348683407427,0.062247044000268724,-0.032387461006871135,-0.035787451739303436,0.0,3.89655984509591e-18,2.727591891567137e-17,0.0071428571428571435,True
rainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs ILDW,"(125,375]",100,0.036496592286378575,0.06500181405749,-0.027214135477386724,-0.02875287158230561,1.0,4.0161556854627e-18,2.727591891567137e-17,0.008333333333333333,True
rainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs ILDW,"(375,750]",100,0.05673051449460064,0.08653485333068148,-0.02549358201594829,-0.026633570272203432,79.0,4.095126545597986e-17,2.0475632727989932e-16,0.01,True
rainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs ILDW,"(750,1500]",100,0.09038276518257635,0.12000822952577579,-0.02199189212100354,-0.017928777545671765,625.0,6.454390373280753e-11,1.9363171119842258e-10,0.016666666666666666,True
rainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs ILDW,"(1500,3125]",100,0.1788897264651274,0.17565218149209216,0.007713388973795782,0.03207172047389353,1468.0,0.000278726263093336,0.000557452526186672,0.025,True
rainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs ILDW,"(3125,6000]",100,0.30861073817332607,0.23199783149376074,0.09526167939427346,0.11504049942575384,201.0,1.3421069512895992e-15,5.368427805158397e-15,0.0125,True
rainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs ILDW,"(6000,9000]",100,0.5104327770118335,0.3481557917531021,0.08554157917528007,0.004372450718356467,1928.0,0.040103629634484286,0.040103629634484286,0.05,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs IDW,≤125,76,0.016279174713417888,0.049955449998378754,-0.03271239995956421,-0.10474554178052291,0.0,3.6060528034893936e-14,7.212105606978787e-14,0.025,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs IDW,"(125,375]",81,0.022736534476280212,0.06592673063278198,-0.04717808961868286,-0.12463796198736989,1.0,5.566890796686133e-15,1.67006723900584e-14,0.016666666666666666,True
