patch_id,input_file,solver_name,solver_label,run_status,solver_success,stop_reason,height,width,num_pixels,num_links,num_valid_links,iterations,nfev,njev,end_to_end_seconds,optimizer_seconds,output_npz,error,completed_at_utc,solver_config_sha256
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180600_patch000,est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180600_patch000.json,idw,IDW,completed,True,,480,448,215040,,,,,,7.6574190000101225,,/Users/isoto/Projects/Rainfall-Estimation/Compute-Link-Attenuations/HundredPatches/pipeline/timing/all_methods/solutions/idw/est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180600_patch000_solution.npz,,2026-07-15T08:37:58.598398+00:00,c498ece09b33dcbe9c0a4bbd7e77a5c77d705aa02f674775435fbafc6f3ef072
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180900_patch002,est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180900_patch002.json,idw,IDW,completed,True,,480,400,192000,,,,,,5.655428166995989,,/Users/isoto/Projects/Rainfall-Estimation/Compute-Link-Attenuations/HundredPatches/pipeline/timing/all_methods/solutions/idw/est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180900_patch002_solution.npz,,2026-07-15T08:38:04.319616+00:00,c498ece09b33dcbe9c0a4bbd7e77a5c77d705aa02f674775435fbafc6f3ef072
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181200_patch003,est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181200_patch003.json,idw,IDW,completed,True,,400,512,204800,,,,,,6.626224166000611,,/Users/isoto/Projects/Rainfall-Estimation/Compute-Link-Attenuations/HundredPatches/pipeline/timing/all_methods/solutions/idw/est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181200_patch003_solution.npz,,2026-07-15T08:38:10.948959+00:00,c498ece09b33dcbe9c0a4bbd7e77a5c77d705aa02f674775435fbafc6f3ef072
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181300_patch002,est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181300_patch002.json,idw,IDW,completed,True,,432,480,207360,,,,,,6.323325665987795,,/Users/isoto/Projects/Rainfall-Estimation/Compute-Link-Attenuations/HundredPatches/pipeline/timing/all_methods/solutions/idw/est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181300_patch002_solution.npz,,2026-07-15T08:38:17.275327+00:00,c498ece09b33dcbe9c0a4bbd7e77a5c77d705aa02f674775435fbafc6f3ef072
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181900_patch000,est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181900_patch000.json,idw,IDW,completed,True,,560,496,277760,,,,,,9.233606916997815,,/Users/isoto/Projects/Rainfall-Estimation/Compute-Link-Attenuations/HundredPatches/pipeline/timing/all_methods/solutions/idw/est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181900_patch000_solution.npz,,2026-07-15T08:38:26.512458+00:00,c498ece09b33dcbe9c0a4bbd7e77a5c77d705aa02f674775435fbafc6f3ef072
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190000_patch000,est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190000_patch000.json,idw,IDW,completed,True,,480,576,276480,,,,,,8.88264516700292,,/Users/isoto/Projects/Rainfall-Estimation/Compute-Link-Attenuations/HundredPatches/pipeline/timing/all_methods/solutions/idw/est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190000_patch000_solution.npz,,2026-07-15T08:38:35.398531+00:00,c498ece09b33dcbe9c0a4bbd7e77a5c77d705aa02f674775435fbafc6f3ef072
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch000,est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch000.json,idw,IDW,completed,True,,624,560,349440,,,,,,10.58069291600259,,/Users/isoto/Projects/Rainfall-Estimation/Compute-Link-Attenuations/HundredPatches/pipeline/timing/all_methods/solutions/idw/est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch000_solution.npz,,2026-07-15T08:38:45.981566+00:00,c498ece09b33dcbe9c0a4bbd7e77a5c77d705aa02f674775435fbafc6f3ef072
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch001,est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch001.json,idw,IDW,completed,True,,672,544,365568,,,,,,11.105035708998912,,/Users/isoto/Projects/Rainfall-Estimation/Compute-Link-Attenuations/HundredPatches/pipeline/timing/all_methods/solutions/idw/est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch001_solution.npz,,2026-07-15T08:38:57.095034+00:00,c498ece09b33dcbe9c0a4bbd7e77a5c77d705aa02f674775435fbafc6f3ef072
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190700_patch000,est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190700_patch000.json,idw,IDW,completed,True,,672,528,354816,,,,,,9.39889175001008,,/Users/isoto/Projects/Rainfall-Estimation/Compute-Link-Attenuations/HundredPatches/pipeline/timing/all_methods/solutions/idw/est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190700_patch000_solution.npz,,2026-07-15T08:39:06.497077+00:00,c498ece09b33dcbe9c0a4bbd7e77a5c77d705aa02f674775435fbafc6f3ef072
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190800_patch001,est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190800_patch001.json,idw,IDW,completed,True,,624,400,249600,,,,,,7.153114375003497,,/Users/isoto/Projects/Rainfall-Estimation/Compute-Link-Attenuations/HundredPatches/pipeline/timing/all_methods/solutions/idw/est_input_RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190800_patch001_solution.npz,,2026-07-15T08:39:13.653328+00:00,c498ece09b33dcbe9c0a4bbd7e77a5c77d705aa02f674775435fbafc6f3ef072
