patch_key,solver,solver_display,distance_bin_m,n_pixels,rmse_mmph,bias_mmph,pearson_corr
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180600_patch000,IDW,IDW,≤125,4307,0.5884041774312471,-0.006828647486593929,0.9636924923963743
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180600_patch000,IDW,IDW,"(125,375]",16831,0.6655629119053221,0.005569040297215355,0.9515462507757635
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180600_patch000,IDW,IDW,"(375,750]",25567,0.7867280722097257,0.07620763740919274,0.9251664608513503
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180600_patch000,IDW,IDW,"(750,1500]",46989,0.9999826193062695,0.13909373439231784,0.8546123856473156
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180600_patch000,IDW,IDW,"(1500,3125]",76874,1.2944985817505303,0.16177781537866406,0.7023251409448222
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180600_patch000,IDW,IDW,"(3125,6000]",38395,1.296787150980252,0.22984289582826023,0.6130751816782477
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180600_patch000,IDW,IDW,"(6000,9000]",4984,1.0010914959072075,0.6473882117848335,0.462579557814552
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180600_patch000,IDW,IDW,>9000,1093,0.9946116569147246,0.7759538487567884,-0.496181689946021
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180900_patch002,IDW,IDW,≤125,3902,0.4782953931516564,-0.03003059288543435,0.9753246747172116
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180900_patch002,IDW,IDW,"(125,375]",15131,0.5668097074844775,-0.03262619243176572,0.9649502075352765
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180900_patch002,IDW,IDW,"(375,750]",22331,0.6670546674230962,-0.01742953547327204,0.9489357005532614
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180900_patch002,IDW,IDW,"(750,1500]",41053,0.8750540784919201,-0.059347971532949816,0.9095532819342921
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180900_patch002,IDW,IDW,"(1500,3125]",69051,1.3103067867376927,-0.2186851680733173,0.8238678254907544
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180900_patch002,IDW,IDW,"(3125,6000]",34633,2.2864166759246687,-0.3565192489553317,0.4927617512546431
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180900_patch002,IDW,IDW,"(6000,9000]",4806,2.8705984075357267,1.6684600296389596,-0.5844821906724413
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301180900_patch002,IDW,IDW,>9000,1093,2.7139560305875894,0.9959366481890944,-0.9198346851414133
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181200_patch003,IDW,IDW,≤125,3836,0.6280646944968833,0.061329902122787765,0.9616359558533448
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181200_patch003,IDW,IDW,"(125,375]",15470,0.6670976002018756,0.10682960454676389,0.941013312101507
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181200_patch003,IDW,IDW,"(375,750]",24747,0.7712772955425033,0.16851485294890337,0.9099417392647635
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181200_patch003,IDW,IDW,"(750,1500]",46358,0.9239732075922589,0.2065772092823825,0.8774934560901978
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181200_patch003,IDW,IDW,"(1500,3125]",72954,1.1349212721541437,0.345369510498781,0.833855103019504
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181200_patch003,IDW,IDW,"(3125,6000]",38442,1.2493509862225916,0.49536952494570824,0.767249857437065
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181200_patch003,IDW,IDW,"(6000,9000]",2993,0.8418535999947514,0.4426426036159529,0.703022998029011
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181300_patch002,IDW,IDW,≤125,4067,0.3823670719890551,-0.006717572963762436,0.9526491908688545
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181300_patch002,IDW,IDW,"(125,375]",16278,0.40422182799616907,0.009172679766022115,0.944351139621338
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181300_patch002,IDW,IDW,"(375,750]",25812,0.46563576176058946,0.01705675944974584,0.8965200061289834
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181300_patch002,IDW,IDW,"(750,1500]",48116,0.5821983261156881,0.015414675787030556,0.818253345046045
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181300_patch002,IDW,IDW,"(1500,3125]",75981,0.6965536151254518,-0.01647125594753783,0.7387800381894604
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181300_patch002,IDW,IDW,"(3125,6000]",35618,0.5648485639049238,0.042670596595750024,0.6611247498608714
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181300_patch002,IDW,IDW,"(6000,9000]",1488,0.6758491376155689,0.2727382359325245,0.26585918718653556
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181900_patch000,IDW,IDW,≤125,5288,0.19974840571036184,0.002446333577633806,0.985971912153649
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181900_patch000,IDW,IDW,"(125,375]",20528,0.24905500091970115,-0.0048503402347617654,0.9802713266724111
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181900_patch000,IDW,IDW,"(375,750]",32454,0.3245766125116598,-0.009480682362442414,0.9709964567742194
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181900_patch000,IDW,IDW,"(750,1500]",61361,0.4413456678777641,-0.03736054019450955,0.952638655684074
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181900_patch000,IDW,IDW,"(1500,3125]",101172,0.5874834074632093,-0.0772523803223517,0.9155239154514596
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181900_patch000,IDW,IDW,"(3125,6000]",52907,0.6148925971233674,-0.0261605875573819,0.9034035057450693
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181900_patch000,IDW,IDW,"(6000,9000]",3681,0.3163557206820813,0.20545546231597572,0.9753840383685761
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301181900_patch000,IDW,IDW,>9000,369,0.24771822892919934,0.24762293882163236,0.3213570306641213
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190000_patch000,IDW,IDW,≤125,4743,0.2772095799225203,0.014717544831732971,0.9906238991627233
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190000_patch000,IDW,IDW,"(125,375]",19207,0.34430439683373415,0.02329634400529256,0.9849678937760106
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190000_patch000,IDW,IDW,"(375,750]",31346,0.4350045062285288,0.031155955772078015,0.9757413447967388
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190000_patch000,IDW,IDW,"(750,1500]",61078,0.5445432485793767,0.05422163121381526,0.9549711811461482
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190000_patch000,IDW,IDW,"(1500,3125]",101514,0.7084035297725827,0.1284676775740523,0.9054247123364562
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190000_patch000,IDW,IDW,"(3125,6000]",51996,0.8055618360802939,0.35702657888729633,0.8764398058975399
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190000_patch000,IDW,IDW,"(6000,9000]",5503,0.8857528504873411,0.7210489104774547,0.7560856618406717
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190000_patch000,IDW,IDW,>9000,1093,1.367691401290495,1.2711781820679409,0.25895802767861226
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch000,IDW,IDW,≤125,5625,0.4652233970488019,-0.03637650305430094,0.9708430670700108
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch000,IDW,IDW,"(125,375]",22142,0.49809446134098145,-0.016357121149081544,0.9628185223243857
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch000,IDW,IDW,"(375,750]",36071,0.6088844262814134,-0.02576595279765993,0.9496182570519854
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch000,IDW,IDW,"(750,1500]",71147,0.7418879014997387,-0.05643913419469151,0.9172646632213524
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch000,IDW,IDW,"(1500,3125]",121319,0.9692054563819597,-0.14075707909621046,0.8666133169952704
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch000,IDW,IDW,"(3125,6000]",72157,1.266951497413227,-0.07387318081586616,0.8196116080443995
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch000,IDW,IDW,"(6000,9000]",16588,1.1470849912253551,0.34518924236750353,0.6540776229378921
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch000,IDW,IDW,>9000,4391,0.9587906221472082,0.3167802986496539,0.6545867487728817
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch001,IDW,IDW,≤125,6138,0.5493011674794829,-0.08835451006527495,0.9670156609226367
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch001,IDW,IDW,"(125,375]",24392,0.5465918386765071,-0.06797406988297441,0.95832789936481
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch001,IDW,IDW,"(375,750]",39715,0.6408039140577774,-0.04117498392599213,0.9318591562995543
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch001,IDW,IDW,"(750,1500]",78272,0.7415966550615168,-0.0172149905390767,0.8961836261537757
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch001,IDW,IDW,"(1500,3125]",134070,0.963400990610391,-0.08169203562083735,0.8259490267657003
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch001,IDW,IDW,"(3125,6000]",75249,1.029872979213013,-0.15365064896037506,0.8113268535377582
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch001,IDW,IDW,"(6000,9000]",6503,0.676336678847487,0.22734684261498514,0.91292400141959
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190300_patch001,IDW,IDW,>9000,1229,0.005709181024336547,-0.00016511764206474176,0.9999988453165425
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190700_patch000,IDW,IDW,≤125,6028,0.24509720478446215,-0.004499288581128775,0.9869531014127447
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190700_patch000,IDW,IDW,"(125,375]",23900,0.27979843685490835,0.00012378873997153598,0.9837808430329448
RAD_OPERA_HOURLY_RAINFALL_ACCUMULATION_202301190700_patch000,IDW,IDW,"(375,750]",38804,0.391281987063118,-0.017274908860074947,0.9722778393600391
