distance_bin_m,solver,solver_display,n_patch_rmse,n_patch_bias,n_patch_pearson,mean_pixel_count,rmse_mmph_mean,rmse_mmph_sd,bias_mmph_mean,bias_mmph_sd,pearson_corr_mean,pearson_corr_sd
≤125,IDW,IDW,100,100,100,4830.68,0.652475774115699,0.7804724487093532,-0.01942203820363655,0.06682644871025233,0.9670627373706209,0.01793746922116962
≤125,ILDW,ILDW,100,100,100,4830.68,0.7722189528425262,1.0105346706065241,-0.0014462351778937019,0.06554506150932429,0.9520174318475456,0.02626236470753881
≤125,OPT_NORM_ILDW_MULT_ILDW_INIT,"Nonlinear Optimizer (300 iters, normal shrinkage)",100,100,100,4830.68,0.5105978569815852,0.827044266820217,0.0039196058323650515,0.041884295714955264,0.9810370274581716,0.020345117146737066
≤125,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG_LIGHT_JTOTAL,Virtual Convex Light Shrinkage (2000 iters),100,100,100,4830.68,0.3656792711590879,0.473297618462221,-0.00011528252813620747,0.014257128700450612,0.9887892194196047,0.008623737077782691
≤125,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG_LIGHT_JTOTAL,Homotopy Light Shrinkage (2000 iters),100,100,100,4830.68,0.3651696201480316,0.47214541275330724,-0.0004286402822843612,0.013801875431517665,0.9888001612658299,0.008632088454181909
"(125,375]",IDW,IDW,100,100,100,18998.78,0.7297005921328472,0.8626758503008182,-0.015811259636590566,0.06456638507473966,0.9596656549240036,0.01985628666926411
"(125,375]",ILDW,ILDW,100,100,100,18998.78,0.7269366665608982,0.9108115379924131,-0.0009566299641240439,0.023025250563184763,0.958058119766763,0.021262421242043503
"(125,375]",OPT_NORM_ILDW_MULT_ILDW_INIT,"Nonlinear Optimizer (300 iters, normal shrinkage)",100,100,100,18998.78,0.5602652507991146,0.8503382591178685,-0.00997851399958123,0.02177571524669047,0.9779995584673045,0.01891747892504167
"(125,375]",OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG_LIGHT_JTOTAL,Virtual Convex Light Shrinkage (2000 iters),100,100,100,18998.78,0.4136908441113373,0.5103966917877483,-0.0007572809826660835,0.01590572117584786,0.9861517415506577,0.00807930831306035
"(125,375]",OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG_LIGHT_JTOTAL,Homotopy Light Shrinkage (2000 iters),100,100,100,18998.78,0.41361814982821316,0.5097549380015234,-0.0012153281997418128,0.01569049711131264,0.986145384037503,0.008091557126902895
"(375,750]",IDW,IDW,100,100,100,30198.95,0.9064350453423251,1.0679299994659586,-0.007100370416426945,0.13364315216985856,0.9410914053405128,0.02855438994404976
"(375,750]",ILDW,ILDW,100,100,100,30198.95,0.8185015788053963,0.9982539645922001,0.005191243542183433,0.09213714089696284,0.9498546879192693,0.02512912801061347
"(375,750]",OPT_NORM_ILDW_MULT_ILDW_INIT,"Nonlinear Optimizer (300 iters, normal shrinkage)",100,100,100,30198.95,0.7004883236388019,0.9790266045996705,-0.04441815763619305,0.10123002145583583,0.9673372377336567,0.024419729573749657
"(375,750]",OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG_LIGHT_JTOTAL,Virtual Convex Light Shrinkage (2000 iters),100,100,100,30198.95,0.5335957830689985,0.6475382542861424,0.0034873414705814862,0.019470420451673392,0.9780088810404726,0.012131005756489021
"(375,750]",OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG_LIGHT_JTOTAL,Homotopy Light Shrinkage (2000 iters),100,100,100,30198.95,0.53381406064744,0.6473040012845162,0.002873506211170929,0.01952120735070642,0.9779882465639601,0.012139422103480705
"(750,1500]",IDW,IDW,100,100,100,58435.08,1.1085981708829444,1.1395057044542127,-0.014925613714574374,0.2069912960133014,0.9081090949161776,0.0438472704729929
"(750,1500]",ILDW,ILDW,100,100,100,58435.08,1.00987952583381,1.0550490381909758,-0.0025575188159145234,0.16425864444043542,0.9215317862731967,0.038998028803159696
"(750,1500]",OPT_NORM_ILDW_MULT_ILDW_INIT,"Nonlinear Optimizer (300 iters, normal shrinkage)",100,100,100,58435.08,0.9170094034357572,1.059985844647264,-0.1365748632678627,0.21443070260653865,0.9451678395550218,0.03845427455098563
"(750,1500]",OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG_LIGHT_JTOTAL,Virtual Convex Light Shrinkage (2000 iters),100,100,100,58435.08,0.6763912485054822,0.7163058311638744,0.0021958822590731645,0.03242449892895837,0.9634202462120344,0.020994660613502948
"(750,1500]",OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG_LIGHT_JTOTAL,Homotopy Light Shrinkage (2000 iters),100,100,100,58435.08,0.6765966380666066,0.7163428754542017,0.001676515341822864,0.032426747488022004,0.9633986955133164,0.021006299736020445
"(1500,3125]",IDW,IDW,100,100,100,99615.68,1.4195652606204865,1.340138353414983,0.003538446157213016,0.3578135379000445,0.8443156755142937,0.07999372164639691
"(1500,3125]",ILDW,ILDW,100,100,100,99615.68,1.3469352914198671,1.288120970065201,0.018585191658027852,0.3279034532572799,0.8590849544589351,0.0739536966735214
"(1500,3125]",OPT_NORM_ILDW_MULT_ILDW_INIT,"Nonlinear Optimizer (300 iters, normal shrinkage)",100,100,100,99615.68,1.320119142150645,1.3035070049949888,-0.28381730518303894,0.4349445975967093,0.8942718460508368,0.07429515475352244
"(1500,3125]",OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG_LIGHT_JTOTAL,Virtual Convex Light Shrinkage (2000 iters),100,100,100,99615.68,0.9099779293888905,0.8755087586211309,0.01115613337474643,0.08346249614144476,0.9319634268519946,0.04157321621512303
"(1500,3125]",OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG_LIGHT_JTOTAL,Homotopy Light Shrinkage (2000 iters),100,100,100,99615.68,0.9100022912887759,0.8754441851899406,0.010953079219929772,0.08348724434359601,0.9319726668074607,0.04156023319226885
"(3125,6000]",IDW,IDW,100,100,100,52126.53,1.595739508535225,1.4287529984746385,0.13890865019703252,0.6346413791834188,0.7761302782433003,0.12565808074391308
"(3125,6000]",ILDW,ILDW,100,100,100,52126.53,1.5404347057521517,1.369588932116005,0.14589048571644944,0.5838139516001176,0.7908177839107268,0.11514140382280379
"(3125,6000]",OPT_NORM_ILDW_MULT_ILDW_INIT,"Nonlinear Optimizer (300 iters, normal shrinkage)",100,100,100,52126.53,1.5502067776155133,1.3664413848787609,-0.27489071342283117,0.6781114811652615,0.8308517971222192,0.11011529466590324
"(3125,6000]",OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG_LIGHT_JTOTAL,Virtual Convex Light Shrinkage (2000 iters),100,100,100,52126.53,1.0868332078692382,0.9624481322247674,0.06884939718500205,0.22323643692058315,0.8874531754721756,0.07462592740342443
"(3125,6000]",OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG_LIGHT_JTOTAL,Homotopy Light Shrinkage (2000 iters),100,100,100,52126.53,1.0868423614571878,0.9625368698100488,0.0692036627780839,0.2234112674228048,0.887501909917977,0.07462808227339547
"(6000,9000]",IDW,IDW,100,100,100,4685.62,1.4355898480177363,1.3473922956373003,0.6298850629556142,0.9829076556431812,0.617426760328392,0.30243992088759764
"(6000,9000]",ILDW,ILDW,100,100,100,4685.62,1.4164642783508936,1.3035395658295619,0.6422452734177366,0.97072308984193,0.6237328986053104,0.3038500487997816
